,score,name,rank,district
72,2.6,University of Maryland--Baltimore County (Department of Mathematics and Statistics),69,"Baltimore, MD"
73,2.6,University of Virginia (Department of Statistics),69,"Charlottesville, VA"
74,2.5,Oregon State University (Department of Statistics),74,"Corvallis, OR"
75,2.5,University of California--Riverside (Department of Statistics),74,"Riverside, CA"
76,2.5,University of Colorado--Denver (Department of Biostatistics and Informatics),74,"Aurora, CO"
77,2.5,University of Massachusetts--Amherst (Department of Mathematics and Statistics),74,"Amherst, MA"
78,2.5,University of South Carolina (Department of Statistics),74,"Columbia, SC"
79,2.4,Arizona State University (School of Mathematical & Statistical Sciences),79,"Tempe, AZ"
80,2.4,Case Western Reserve University (Department of Statistics),79,"Cleveland, OH"
81,2.4,Temple University (Department of Statistics),79,"Philadelphia, PA"
82,2.4,University of Massachusetts--Amherst (Division of Biostatistics and Epidemiology),79,"Amherst, MA"
83,2.3,Baylor University (Department of Statistical Science),83,"Waco, TX"
84,2.3,George Mason University (Department of Statistics),83,"Fairfax, VA"
85,2.3,Kansas State University (Department of Statistics),83,"Manhattan, KS"
86,2.3,University at Buffalo--SUNY (Department of Biostatistics),83,"Buffalo, NY"
87,2.3,University of Colorado--Denver (Department of Mathematical and Statistical Sciences),83,"Denver, CO"
88,2.3,University of South Carolina (Epidemiology and Biostatistics),83,"Columbia, SC"
89,2.2,University of Alabama--Birmingham (Department of Biostatistics),89,"Birmingham, AL"
90,2.2,University of Kansas Medical Center (Department of Biostatistics),89,"Kansas City, KS"
91,2.2,University of Kentucky (Department of Statistics),89,"Lexington, KY"
92,2.2,Virginia Commonwealth University (Department of Statistics),89,"Richmond, VA"
93,2.1,San Diego State University (Department of Mathematics and Statistics),93,"San Diego, CA"
94,2.1,University at Albany--SUNY (Department of Epidemiology & Biostatistics),93,"Rensselaer, NY"
95,2.1,University of Cincinnati (Division of Epidemiology & Biostatistics),93,"Cincinnati, OH"
96,2.1,Virginia Commonwealth University (Department of Biostatistics),93,"Richmond, VA"
97,2,University of North Carolina--Charlotte (Department of Mathematics and Statistics),97,"Charlotte, NC"
98,2,University of Texas--San Antonio (Department of Management Science and Statistics),97,"San Antonio, TX"
99,N/A,Auburn University (Department of Mathematics and Statistics),,"Auburn, AL"
