,institution,program,degree,season,admission_status,admission_via,admission_date,ST,Date_added,notes,Undergrad_GPA,GRE_V,GRE_Q,GRE_W,GRE_sub
27,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,I,29 Feb 2020,,,,,,
28,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,I,28 Feb 2020,,,,,,
29,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,4.0,165.0,168.0,4.5,870.0
30,"University Of California, Irvine",Statistics,Masters,F20,Accepted,E-mail,29 Feb 2020,U,28 Feb 2020,Notified by department chair via email that I was recommended for admission. The official letter will be coming next week.,3.95,148.0,170.0,3.5,810.0
31,Yale University,Statistics,Masters,F20,Rejected,Website,29 Jan 2020,U,28 Feb 2020,,3.54,166.0,163.0,5.5,
32,Michigan State University,Statistics,Masters,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,There is mistake about GRE score in the result below.,2.91,143.0,170.0,3.0,
33,Michigan State University (MSU),Statistics,Masters,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,No funding.,2.91,170.0,143.0,3.0,
34,University Of Illinois,Statistics,Masters,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,,,,,,
35,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
36,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
37,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,A,28 Feb 2020,,4.0,160.0,168.0,4.0,
38,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
39,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
40,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,A,28 Feb 2020,,3.95,160.0,170.0,5.0,
41,Michigan Technological University,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,No funding offer yet!,3.65,148.0,169.0,3.0,
42,Michigan Technological University,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,,,161.0,169.0,4.0,
43,University Of British Columbia,Statistics,Masters,F20,Accepted,E-mail,27 Feb 2020,U,28 Feb 2020,With full financial support. Need to confirm the offer before 3/16.,3.71,152.0,170.0,3.5,
44,Columbia University Teachers College,Applied Statistics,Masters,F20,Accepted,E-mail,27 Feb 2020,I,28 Feb 2020,"Economics undergraduate outside the US (3.8 GPA), Master in the UK non-quantitative subject (3.8 GPA equivalent). TOEFL ibt 111. Average GRE scores, 10 years of work experience in the private sector and policy field. Decent recommendation letters. Was offered US$12,500 in funding.",3.8,155.0,154.0,4.0,
45,NYU Stern,Statistics,PhD,F20,Other,E-mail,28 Feb 2020,O,28 Feb 2020,"Hi, I am wondering whether anyone has received the offer from NYU Stern Statistics PhD program? Email the department several days ago but no response. Thanks!",,,,,
46,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,26 Feb 2020,I,27 Feb 2020,Email to check the website. Not surprised but not happy.,,,,,
47,University Of Michigan,Statistics,PhD,F20,Other,E-mail,27 Feb 2020,I,27 Feb 2020,"No Accept, No reject, No waitlist. Emailed to ask my current status. ""Your application is under review. We will notify you when a decision has been made."" Hope it helps anyone who has not received anything from the department.",,,,,
48,North Carolina State University (NCSU),Statistics,PhD,F20,Wait listed,E-mail,28 Feb 2020,I,27 Feb 2020,,,,,,
49,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,26 Feb 2020,,27 Feb 2020,Email to check the application status. No interview. Expected but still unhappy.,,,,,
50,NCSU (North Carolina State University),Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,I,27 Feb 2020,,,,,,
51,NCSU (North Carolina State University),Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,U,27 Feb 2020,"'We do not rank our waitlist and cannot disclose how many people are listed on it.' 
Please decline early if you have better choices T.T Thank you so much!
",,,,,
52,University Of British Columbia,Statistics,PhD,F20,Accepted,E-mail,27 Feb 2020,U,27 Feb 2020,,,,,,
53,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,26 Feb 2020,A,27 Feb 2020,Hoping to get off the waitlist. Seems like a lot of people are on it.,,,,,
54,"University Of California, Berkeley",Statistics,PhD,F20,Accepted,E-mail,26 Feb 2020,A,27 Feb 2020,Email to check website,,,,,
55,ETH Zurich,Statistics,Masters,F20,Accepted,E-mail,31 Jan 2020,O,27 Feb 2020,TTPB: According to my letters of admission they were issued and sent off 1-3 workdays after the email notification.,,,,,
56,ETH Zurich,Statistics,Masters,F20,Other,Other,27 Feb 2020,O,27 Feb 2020,TTPB: I have received a letter with my offer from ETH more than a week ago. I study in the UK.,,,,,
57,University Of Michigan,Statistics,PhD,F20,Other,Other,27 Feb 2020,I,27 Feb 2020,"I cannot access to Wolverine Access. After log-in, I cannot access to ""new and prospective students"" section. Maybe they closed my account. No interview, no rejection, no waitlist email... Seems like a silent rejection.",,,,,
58,University Of South Carolina,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,27 Feb 2020,,,,,,
59,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,27 Feb 2020,I,27 Feb 2020,,,157.0,170.0,3.5,
60,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,27 Feb 2020,I,27 Feb 2020,,,,,,
61,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,I,27 Feb 2020,,,,,,
62,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,A,27 Feb 2020,,3.96,163.0,170.0,4.5,
63,ETH Zurich,"Statistics, Masters",Masters,F20,Other,Other,27 Feb 2020,I,27 Feb 2020,Did anyone receive the post from ETH?,,,,,
64,Duke University,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,I,27 Feb 2020,,,,,,
65,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,27 Feb 2020,U,26 Feb 2020,,,,,,
66,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,3 top conference pub,,,,,
67,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,,3.73,154.0,167.0,4.0,
68,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,,,,,,
69,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,27 Feb 2020,I,26 Feb 2020,,4.0,163.0,167.0,4.5,
70,University Of Chicago,Statistics,Masters,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,,,,,,
71,University Of Chicago,Statistics,PhD,F20,Wait listed,Website,26 Feb 2020,I,26 Feb 2020,,,,,,
72,University Of Chicago,Statistics,PhD,F20,Rejected,Website,27 Feb 2020,U,26 Feb 2020,,,,,,
73,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,I,26 Feb 2020,,3.78,148.0,170.0,3.5,970.0
74,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,A,26 Feb 2020,Very curious to know what the odds of getting off this waitlist are like,3.66,170.0,166.0,5.0,
75,University Of Chicago,Statistics,PhD,F20,Wait listed,Website,27 Feb 2020,I,26 Feb 2020,Hmm... Glad but I think a lot of students are waitlisted...,,0.0,0.0,0.0,970.0
76,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,A,26 Feb 2020,Slightly shocked since I did not submit the Math Subject Test,3.95,160.0,170.0,5.0,
77,Stanford University,Statistics,Masters,F20,Accepted,E-mail,27 Feb 2020,,26 Feb 2020,,3.92,158.0,169.0,5.0,
78,George Washington University (GWU),Statistics,Masters,S20,Accepted,Website,26 Feb 2020,A,26 Feb 2020,Non stellar GRE scores but I have a very strong GPA and great LORs,4.0,151.0,163.0,3.5,
79,Cornell University,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,A,26 Feb 2020,,,,,,
80,University Of Oxford,EPSRC CDT In Modern Statistics And Statistical Machine Learning At Imperial And Oxford (StatML),PhD,F20,Rejected,E-mail,20 Dec 2019,I,26 Feb 2020,"Sorry correction after checking their website: this CDT do admit non-UK/EU student, although the number is very limited",,,,,
81,University Of Oxford,EPSRC CDT In Modern Statistics And Statistical Machine Learning At Imperial And Oxford (StatML),PhD,F20,Rejected,E-mail,20 Dec 2019,I,26 Feb 2020,Got rejection letter right before Christmas without interview. They basically won't admit non-EU/UK students. But don't care as this is not the right program for me. Had already got admission from a more desired DPhil by then. So grateful !,,,,,
82,Michigan Technological University,Statistics,PhD,F20,Accepted,E-mail,26 Feb 2020,U,26 Feb 2020,,,,,,
83,Columbia University GSAS,Statistics,Masters,F20,Accepted,E-mail,26 Feb 2020,,26 Feb 2020,Got email to check status,,,,,
84,Cornell University,Statistics,PhD,F20,Accepted,E-mail,25 Feb 2020,A,26 Feb 2020,Visit day March 20 and 28k stipend for 5 years.,3.78,164.0,166.0,4.0,
85,Colorado State University,Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,A,26 Feb 2020,,3.5,160.0,163.0,4.0,
86,"University Of California, Davis",Statistics,Masters,F20,Accepted,E-mail,26 Feb 2020,I,26 Feb 2020,,,,,,
87,Duke University,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,U,26 Feb 2020,,,,,,
88,George Washington University (GWU),Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,email to check website,3.4,160.0,166.0,3.0,
89,Columbia University,Statistics,Masters,F20,Accepted,Website,26 Feb 2020,I,25 Feb 2020,,3.8,156.0,170.0,3.5,840.0
90,"University Of California, Davis",Statistics,Masters,F20,Other,Other,26 Feb 2020,I,25 Feb 2020,"Hi there, is there anyone else who receives no response today? It seems the school release a bunch of offers today. My status is still shown as 'Submitted'. Shall I ask the officer?",,,,,
91,University Of Missouri,Statistics,PhD,F20,Accepted,E-mail,12 Feb 2020,U,25 Feb 2020,TTPB: Not receive any funding decision yet. :(  I am still waiting.,,,,,
92,"University Of California, Davis",Statistics,Masters,F20,Accepted,E-mail,25 Feb 2020,U,25 Feb 2020,,3.88,168.0,144.0,2.0,
93,"University Of California, Davis",Statistics,Masters,F20,Accepted,E-mail,26 Feb 2020,U,25 Feb 2020,Email to check portal. 2 acceptance in one day. Whoa.,3.95,148.0,170.0,3.5,810.0
94,Duke University,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,,25 Feb 2020,had to check the website to find out (eye roll),3.66,170.0,166.0,5.0,
95,University Of Connecticut (UConn),Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,A,25 Feb 2020,,,,,,
96,Columbia University,Statistics,Masters,F20,Accepted,Postal Service,25 Feb 2020,U,25 Feb 2020,"No anything was notified. I was just checking every portal on a daily basis (just like you do), and I found out there was an update. Pretty excited.
Not sure if I would go. Just waiting for other schools.",3.95,148.0,170.0,3.5,810.0
97,NCSU (North Carolina State University),Statistics,PhD,F20,Other,Other,25 Feb 2020,O,25 Feb 2020,"For those who have received results from NCSU, when did you submit your apps? I missed the priority ddl and haven't heard anything from them yet.",,,,,
98,Duke University,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,I,25 Feb 2020,,4.0,163.0,167.0,4.5,
99,Simon Fraser University (SFU),Statistics,Masters,F20,Rejected,E-mail,25 Feb 2020,I,25 Feb 2020,,,,,,
100,NCSU (North Carolina State University),Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,U,25 Feb 2020,,,,,,
101,University Of Washington,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,I,25 Feb 2020,Sent email asking application status like below and got response. The department should show some respect toward applicants by informing their decisions before people ask. Unhappy with the result as this was my dream school.,,,,,
102,Harvard University,Statistics,PhD,F20,Rejected,E-mail,11 Feb 2020,I,25 Feb 2020,email to check website,,,,,
103,Columbia University,Statistics,PhD,F20,Interview,E-mail,18 Feb 2020,I,25 Feb 2020,on 25.02,3.8,154.0,170.0,4.0,
104,University Of Illinois At Urbana Champaign,Statistics,Masters,F20,Accepted,E-mail,25 Feb 2020,I,25 Feb 2020,Recommended for admission to Graduate School,,161.0,165.0,4.5,
105,Carnegie Mellon University,Statistics And Public Policy,PhD,F20,Accepted,E-mail,21 Feb 2020,,25 Feb 2020,,,,,,
106,University Of Missouri,Statistics,PhD,F20,Accepted,E-mail,12 Feb 2020,U,25 Feb 2020,said 'departmental funding decision letters will be sent out separately from letter of admittance soon'. But still not receive.,,,,,
107,University Of Washington,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,A,25 Feb 2020,"Sent email to department, like others below, asking about the status of my application.",,,,,
108,University Of Virginia,Statistics,PhD,F20,Other,Other,25 Feb 2020,O,25 Feb 2020,"To the post below. I didn't get an email from Prof.Keenan. However, I wrote that UVA is always my top choice in my SOP.",,,,,
109,Carnegie Mellon University,Statistics,PhD,F20,Rejected,Website,24 Feb 2020,U,25 Feb 2020,,,,,,
110,University Of Virginia,Statistics,PhD,F20,Other,Other,25 Feb 2020,U,25 Feb 2020,"To posts below. May I check with one of you two who have received offer from UVa, did you also received an email by Dr. Keenan about your interest level?",3.6,154.0,170.0,3.5,
111,University Of Minnesota,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,I,25 Feb 2020,email to check my status,,,,,
112,University Of Connecticut,Statistics,PhD,F20,Accepted,E-mail,25 Feb 2020,I,25 Feb 2020,,,,,,
113,Carnegie Mellon University,Statistics,PhD,F20,Wait listed,E-mail,24 Feb 2020,A,25 Feb 2020,"Not the other guy, but I was formally wait listed.",,,,,
114,University Of Minnesota,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,I,24 Feb 2020,,,,,,
115,Penn State University,Statistics,PhD,F20,Rejected,E-mail,21 Feb 2020,U,24 Feb 2020,,,,,,
116,Carnegie Mellon University,Statistics,PhD,F20,Other,Other,25 Feb 2020,I,24 Feb 2020,"TTPB: I was actually waitlisted. Received an email saying ""you are on our short waiting list for admission... We received about 400 applications and a very small number of people were admitted or wait listed.""",,,,,
117,University Of Florida,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,U,24 Feb 2020,1/2 TA for 9 months and tuition waiver. Will most likely attend.,,,,,
118,Carnegie Mellon University,Statistics,PhD,F20,Other,Other,25 Feb 2020,A,24 Feb 2020,"TPB who said they were waitlisted. Were you actually waitlisted, or are you just assuming that you were since you did not receive a rejection with the others today?",,,,,
119,"University Of California, Irvine",Statistics,PhD,F20,Accepted,E-mail,20 Feb 2020,A,24 Feb 2020,,,,,,
120,University Of Virginia,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,U,24 Feb 2020,,,,,,
121,Carnegie Mellon University,Statistics,PhD,F20,Wait listed,Website,24 Feb 2020,I,24 Feb 2020,,,,,,
122,University Of Virginia,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,U,24 Feb 2020,,,,,,
123,University Of Michigan,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,4.0,163.0,167.0,4.5,
124,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,4.0,163.0,167.0,4.5,
125,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,3.73,154.0,167.0,4.0,
126,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,,,,,
127,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,A,24 Feb 2020,"First rejection, I think I'm going to either Michigan or Washington",3.9,165.0,166.0,4.0,
128,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,A,24 Feb 2020,,,,,,
129,Carnegie Mellon University,Statistics,PhD,S20,Rejected,Postal Service,24 Feb 2020,U,24 Feb 2020,very disappointed,,,,,
130,Pennsylvania State University (Penn State),Statistics,Masters,F20,Rejected,E-mail,24 Feb 2020,I,24 Feb 2020,,,,,,
131,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,,,,,
132,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,A,24 Feb 2020,,,,,,
133,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,I,24 Feb 2020,"Email to check website
",,,,,
134,Carnegie Mellon,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,,24 Feb 2020,,,,,,
135,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,I,24 Feb 2020,"Disappointed, they sent me an email to check the application website.",,,,,
136,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,A,24 Feb 2020,Email to check website,3.7,161.0,170.0,4.5,
137,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,I,24 Feb 2020,Email to check the application status,,,,,
138,"University Of Maryland, College Park (UMD)",Applied Mathematics & Statistics And Scientific Computation (AMSC),PhD,F20,Accepted,E-mail,5 Feb 2020,I,24 Feb 2020,Double major in CS/Math. Two years of research experience. Fully funded.,3.76,153.0,169.0,4.0,700.0
139,University Of Texas At Dallas,Statistics,Masters,F20,Accepted,E-mail,21 Feb 2020,I,23 Feb 2020,"4.5 years of data science work experience
6.1 GPA from reputed Indian engineering university
Applied on 1st week of application cycle",2.44,157.0,170.0,3.5,
140,"Boston College, Lynch School Of Education","Measurement, Evaluation, Statistics, And Assessment",PhD,F20,Wait listed,E-mail,23 Feb 2020,U,23 Feb 2020,"For those with better options, please let the university know!!!! This is my top1 choice!!!!  I appreciate it!",,,,,
141,University Of Virginia,Statistics,PhD,F20,Other,E-mail,24 Feb 2020,A,23 Feb 2020,Email from Professor Keenan requesting an update on admission/interest-level,,,,,
142,University Of Pennsylvania,Statistics,PhD,F20,Other,Other,23 Feb 2020,U,23 Feb 2020,"TTPB: Emailed UPenn days ago, no reply or anything...I guess all we can do is just wait",,,,,
143,University Of Pennsylvania,Statistics,PhD,F20,Other,Other,23 Feb 2020,U,23 Feb 2020,Does anyone hear anything from Upenn Wharton yet? Thx.,,,,,
144,"University Of California, Irvine",Statistics,PhD,F20,Wait listed,E-mail,21 Feb 2020,U,23 Feb 2020,"On waitlist. If you decide not to go, please decline.",,,,,
145,Michigan Ann Arbor,Statistics,PhD,F20,Rejected,E-mail,21 Feb 2020,I,22 Feb 2020,,,,,,
146,Boise State University,Statistics,Masters,F20,Accepted,E-mail,21 Feb 2020,U,22 Feb 2020,No TA funding provided; so I will decline the offer,,,,,
147,University Of Rochester,Statistics,PhD,F20,Accepted,E-mail,20 Feb 2020,U,22 Feb 2020,Accepted after the Interview Weekend. With funding.,,,,,
148,Stanford University,Statistics (Data Science),Masters,F20,Accepted,E-mail,21 Feb 2020,I,22 Feb 2020,,3.92,163.0,165.0,4.0,
149,Carnegie Mellon University,Statistics,PhD,F20,Accepted,E-mail,21 Feb 2020,A,22 Feb 2020,,,,,,
150,Stanford University,Statistics,Masters,F20,Rejected,E-mail,22 Feb 2020,I,21 Feb 2020,Not surprised but disappointed,,170.0,166.0,5.0,
151,Penn State University,Statistics,PhD,F20,Rejected,E-mail,22 Feb 2020,,21 Feb 2020,,,,,,
152,Penn State (Pennsylvania State University),Statistics,PhD,F20,Rejected,E-mail,22 Feb 2020,I,21 Feb 2020,Generic email from the department conveying the graduate committee decision.,,155.0,170.0,2.5,
153,Stanford University,Statistics,Masters,F20,Rejected,E-mail,22 Feb 2020,U,21 Feb 2020,,3.51,161.0,170.0,4.0,
154,Stanford University,Statistics,Masters,F20,Rejected,E-mail,21 Feb 2020,I,21 Feb 2020,"Canadian Uni, international student, lots of research. Results expected",3.83,155.0,168.0,0.0,
155,Stanford University,Statistics,Masters,F20,Rejected,E-mail,21 Feb 2020,A,21 Feb 2020,"3 years work experience at major well-known tech firm, MIS undergrad, strong programming experience. No research experience, limited data science experience.",3.86,159.0,170.0,4.0,
156,Penn State University,Statistics,PhD,F20,Rejected,E-mail,21 Feb 2020,U,21 Feb 2020,,3.4,160.0,166.0,3.0,
157,Stanford University,Statistics,Masters,F20,Accepted,E-mail,21 Feb 2020,A,21 Feb 2020,Terribly excited!,3.64,158.0,170.0,5.0,
158,Yale University,Statistics,PhD,F20,Rejected,E-mail,7 Feb 2020,U,21 Feb 2020,,3.73,154.0,167.0,4.0,
159,London School Of Economics & Political Science (LSE),Financial Statistics,Masters,F20,Accepted,E-mail,21 Feb 2020,,21 Feb 2020,,,,,,
160,University Of Michigan,Statistics,PhD,F20,Rejected,E-mail,21 Feb 2020,U,21 Feb 2020,,,,,,
161,University Of Washington,Statistics,PhD,F20,Rejected,Other,21 Feb 2020,A,21 Feb 2020,"Had to email department to ask. Not super unhappy about the decision (though rejection always sucks), but unhappy that they clearly had made a decision and did not have the courtesy to inform me earlier. The least they can do is get back saying no on their own.",,,,,
162,University Of Rochester,Statistics,PhD,F20,Accepted,E-mail,20 Feb 2020,,21 Feb 2020,with a fellowship,,,,,
163,Carnegie Mellon University,Statistics And Public Policy,PhD,F20,Accepted,E-mail,21 Feb 2020,A,21 Feb 2020,Got an email to check the website this morning. Thrilled! ~28K funding for 9 months with chances of summer funding.,3.64,158.0,170.0,5.0,
164,University Of Washington,Statistics,PhD,F20,Rejected,E-mail,21 Feb 2020,I,21 Feb 2020,No interview. No email until asking the staff for results. Strong sense of being disregarded...,,,,,
165,University Of Florida,Statistics,PhD,F20,Rejected,E-mail,21 Feb 2020,I,21 Feb 2020,,,,,,
166,University Of Georgia,Statistics,PhD,F20,Accepted,E-mail,19 Feb 2020,U,20 Feb 2020,To the post below: I was so f**king idioctic to apply this program. Do they really believe it that some studunts would accept a five-year PhD program without any funding?  I would rather gap a year than accept this offer.,,,,,
167,SUNY Stony Brook,Applied Mathematics And Statistics,PhD,F20,Accepted,E-mail,21 Feb 2020,I,20 Feb 2020,OR track with no funding :(,,150.0,167.0,3.0,710.0
168,University Of Kentucky,Statistics,Masters,F20,Other,Other,21 Feb 2020,O,20 Feb 2020,Has anyone received a result from this school?,,,,,
169,University Of Georgia,Statistics,PhD,F20,Accepted,E-mail,20 Feb 2020,I,20 Feb 2020,"Without funding. It was my mistake to apply to this university. 
The application fee is $100.  It was wasting money. 
It would be better to ask them about funding if you think of Fall 2021.",,,,,
170,"University Of California, Irvine",Statistics,PhD,F20,Accepted,E-mail,30 Jan 2020,A,20 Feb 2020,,,,,,
171,University Of Nebraska Lincoln,Statistics,Masters,F20,Accepted,E-mail,20 Feb 2020,A,20 Feb 2020,TA position offer.,,,,,
172,Colorado State University - Fort Collins,Statistics,PhD,F20,Accepted,E-mail,20 Feb 2020,U,20 Feb 2020,I'm the poster from below. With funding 2000/month for 9 months. no insurance/fee coverage. campus visit March 9th.,3.86,153.0,168.0,3.5,
173,Duke University,Statistics,PhD,F20,Wait listed,E-mail,20 Feb 2020,A,20 Feb 2020,,3.9,165.0,166.0,4.0,
