,institution,program,degree,season,admission_status,admission_via,admission_date,ST,Date_added,notes,Undergrad_GPA,GRE_V,GRE_Q,GRE_W,GRE_sub
65,Ohio State University,Statistics,PhD,F20,Accepted,E-mail,8 Jan 2020,U,1 Mar 2020,"Has everyone heard about the funding status? I am not in the fellowship pool, it seems that they have already made the decision about fellowship, I am just wondering have anyone not in the fellowship pool received an official offer about stipend",,,,,
66,George Washington University (GWU),Statistics,Masters,F19,Accepted,E-mail,28 Feb 2020,U,1 Mar 2020,,3.67,155.0,160.0,4.0,
67,Western Michigan University,Statistics,Masters,F20,Accepted,E-mail,29 Feb 2020,U,29 Feb 2020,,3.86,154.0,165.0,4.5,
68,San Diego State University (SDSU),Statistics,Masters,F20,Accepted,E-mail,29 Feb 2020,U,29 Feb 2020,,3.86,154.0,165.0,4.5,
69,University Of British Columbia,Statistics,PhD,F20,Accepted,E-mail,27 Feb 2020,I,29 Feb 2020,,,,,,
70,University Of Chicago,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,I,29 Feb 2020,Accepted into Master's though,3.94,151.0,170.0,4.0,970.0
71,Stanford University,Statistics,Masters,F20,Rejected,E-mail,21 Feb 2020,I,29 Feb 2020,,3.94,151.0,170.0,4.0,970.0
72,Johns Hopkins University,Applied Mathematics & Statistics,PhD,F20,Accepted,Website,26 Feb 2020,I,29 Feb 2020,,3.94,151.0,170.0,4.0,970.0
73,Columbia University,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,I,29 Feb 2020,Got two emails. One asking to check website. The other is unofficial offer letter.,,,,,
74,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,I,29 Feb 2020,,,,,,
75,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,I,28 Feb 2020,,,,,,
76,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,4.0,165.0,168.0,4.5,870.0
77,"University Of California, Irvine",Statistics,Masters,F20,Accepted,E-mail,29 Feb 2020,U,28 Feb 2020,Notified by department chair via email that I was recommended for admission. The official letter will be coming next week.,3.95,148.0,170.0,3.5,810.0
78,Yale University,Statistics,Masters,F20,Rejected,Website,29 Jan 2020,U,28 Feb 2020,,3.54,166.0,163.0,5.5,
79,Michigan State University,Statistics,Masters,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,There is mistake about GRE score in the result below.,2.91,143.0,170.0,3.0,
80,Michigan State University (MSU),Statistics,Masters,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,No funding.,2.91,170.0,143.0,3.0,
81,University Of Illinois,Statistics,Masters,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,,,,,,
82,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
83,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
84,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,A,28 Feb 2020,,4.0,160.0,168.0,4.0,
85,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
86,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,U,28 Feb 2020,,,,,,
87,Cornell University,Statistics,PhD,F20,Rejected,E-mail,28 Feb 2020,A,28 Feb 2020,,3.95,160.0,170.0,5.0,
88,Michigan Technological University,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,No funding offer yet!,3.65,148.0,169.0,3.0,
89,Michigan Technological University,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,I,28 Feb 2020,,,161.0,169.0,4.0,
90,University Of British Columbia,Statistics,Masters,F20,Accepted,E-mail,27 Feb 2020,U,28 Feb 2020,With full financial support. Need to confirm the offer before 3/16.,3.71,152.0,170.0,3.5,
91,Columbia University Teachers College,Applied Statistics,Masters,F20,Accepted,E-mail,27 Feb 2020,I,28 Feb 2020,"Economics undergraduate outside the US (3.8 GPA), Master in the UK non-quantitative subject (3.8 GPA equivalent). TOEFL ibt 111. Average GRE scores, 10 years of work experience in the private sector and policy field. Decent recommendation letters. Was offered US$12,500 in funding.",3.8,155.0,154.0,4.0,
92,NYU Stern,Statistics,PhD,F20,Other,E-mail,28 Feb 2020,O,28 Feb 2020,"Hi, I am wondering whether anyone has received the offer from NYU Stern Statistics PhD program? Email the department several days ago but no response. Thanks!",,,,,
93,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,26 Feb 2020,I,27 Feb 2020,Email to check the website. Not surprised but not happy.,,,,,
94,University Of Michigan,Statistics,PhD,F20,Other,E-mail,27 Feb 2020,I,27 Feb 2020,"No Accept, No reject, No waitlist. Emailed to ask my current status. ""Your application is under review. We will notify you when a decision has been made."" Hope it helps anyone who has not received anything from the department.",,,,,
95,North Carolina State University (NCSU),Statistics,PhD,F20,Wait listed,E-mail,28 Feb 2020,I,27 Feb 2020,,,,,,
96,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,26 Feb 2020,,27 Feb 2020,Email to check the application status. No interview. Expected but still unhappy.,,,,,
97,NCSU (North Carolina State University),Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,I,27 Feb 2020,,,,,,
98,NCSU (North Carolina State University),Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,U,27 Feb 2020,"'We do not rank our waitlist and cannot disclose how many people are listed on it.' 
Please decline early if you have better choices T.T Thank you so much!
",,,,,
99,University Of British Columbia,Statistics,PhD,F20,Accepted,E-mail,27 Feb 2020,U,27 Feb 2020,,,,,,
100,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,26 Feb 2020,A,27 Feb 2020,Hoping to get off the waitlist. Seems like a lot of people are on it.,,,,,
101,"University Of California, Berkeley",Statistics,PhD,F20,Accepted,E-mail,26 Feb 2020,A,27 Feb 2020,Email to check website,,,,,
102,ETH Zurich,Statistics,Masters,F20,Accepted,E-mail,31 Jan 2020,O,27 Feb 2020,TTPB: According to my letters of admission they were issued and sent off 1-3 workdays after the email notification.,,,,,
103,ETH Zurich,Statistics,Masters,F20,Other,Other,27 Feb 2020,O,27 Feb 2020,TTPB: I have received a letter with my offer from ETH more than a week ago. I study in the UK.,,,,,
104,University Of Michigan,Statistics,PhD,F20,Other,Other,27 Feb 2020,I,27 Feb 2020,"I cannot access to Wolverine Access. After log-in, I cannot access to ""new and prospective students"" section. Maybe they closed my account. No interview, no rejection, no waitlist email... Seems like a silent rejection.",,,,,
105,University Of South Carolina,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,27 Feb 2020,,,,,,
106,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,27 Feb 2020,I,27 Feb 2020,,,157.0,170.0,3.5,
107,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,27 Feb 2020,I,27 Feb 2020,,,,,,
108,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,I,27 Feb 2020,,,,,,
109,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,A,27 Feb 2020,,3.96,163.0,170.0,4.5,
110,ETH Zurich,"Statistics, Masters",Masters,F20,Other,Other,27 Feb 2020,I,27 Feb 2020,Did anyone receive the post from ETH?,,,,,
111,Duke University,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,I,27 Feb 2020,,,,,,
112,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,27 Feb 2020,U,26 Feb 2020,,,,,,
113,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,3 top conference pub,,,,,
114,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,,3.73,154.0,167.0,4.0,
115,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,,,,,,
116,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,E-mail,27 Feb 2020,I,26 Feb 2020,,4.0,163.0,167.0,4.5,
117,University Of Chicago,Statistics,Masters,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,,,,,,
118,University Of Chicago,Statistics,PhD,F20,Wait listed,Website,26 Feb 2020,I,26 Feb 2020,,,,,,
119,University Of Chicago,Statistics,PhD,F20,Rejected,Website,27 Feb 2020,U,26 Feb 2020,,,,,,
120,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,I,26 Feb 2020,,3.78,148.0,170.0,3.5,970.0
121,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,A,26 Feb 2020,Very curious to know what the odds of getting off this waitlist are like,3.66,170.0,166.0,5.0,
122,University Of Chicago,Statistics,PhD,F20,Wait listed,Website,27 Feb 2020,I,26 Feb 2020,Hmm... Glad but I think a lot of students are waitlisted...,,0.0,0.0,0.0,970.0
123,University Of Chicago,Statistics,PhD,F20,Wait listed,E-mail,27 Feb 2020,A,26 Feb 2020,Slightly shocked since I did not submit the Math Subject Test,3.95,160.0,170.0,5.0,
124,Stanford University,Statistics,Masters,F20,Accepted,E-mail,27 Feb 2020,,26 Feb 2020,,3.92,158.0,169.0,5.0,
125,George Washington University (GWU),Statistics,Masters,S20,Accepted,Website,26 Feb 2020,A,26 Feb 2020,Non stellar GRE scores but I have a very strong GPA and great LORs,4.0,151.0,163.0,3.5,
126,Cornell University,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,A,26 Feb 2020,,,,,,
127,University Of Oxford,EPSRC CDT In Modern Statistics And Statistical Machine Learning At Imperial And Oxford (StatML),PhD,F20,Rejected,E-mail,20 Dec 2019,I,26 Feb 2020,"Sorry correction after checking their website: this CDT do admit non-UK/EU student, although the number is very limited",,,,,
128,University Of Oxford,EPSRC CDT In Modern Statistics And Statistical Machine Learning At Imperial And Oxford (StatML),PhD,F20,Rejected,E-mail,20 Dec 2019,I,26 Feb 2020,Got rejection letter right before Christmas without interview. They basically won't admit non-EU/UK students. But don't care as this is not the right program for me. Had already got admission from a more desired DPhil by then. So grateful !,,,,,
129,Michigan Technological University,Statistics,PhD,F20,Accepted,E-mail,26 Feb 2020,U,26 Feb 2020,,,,,,
130,Columbia University GSAS,Statistics,Masters,F20,Accepted,E-mail,26 Feb 2020,,26 Feb 2020,Got email to check status,,,,,
131,Cornell University,Statistics,PhD,F20,Accepted,E-mail,25 Feb 2020,A,26 Feb 2020,Visit day March 20 and 28k stipend for 5 years.,3.78,164.0,166.0,4.0,
132,Colorado State University,Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,A,26 Feb 2020,,3.5,160.0,163.0,4.0,
133,"University Of California, Davis",Statistics,Masters,F20,Accepted,E-mail,26 Feb 2020,I,26 Feb 2020,,,,,,
134,Duke University,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,U,26 Feb 2020,,,,,,
135,George Washington University (GWU),Statistics,PhD,F20,Rejected,E-mail,26 Feb 2020,U,26 Feb 2020,email to check website,3.4,160.0,166.0,3.0,
136,Columbia University,Statistics,Masters,F20,Accepted,Website,26 Feb 2020,I,25 Feb 2020,,3.8,156.0,170.0,3.5,840.0
137,"University Of California, Davis",Statistics,Masters,F20,Other,Other,26 Feb 2020,I,25 Feb 2020,"Hi there, is there anyone else who receives no response today? It seems the school release a bunch of offers today. My status is still shown as 'Submitted'. Shall I ask the officer?",,,,,
138,University Of Missouri,Statistics,PhD,F20,Accepted,E-mail,12 Feb 2020,U,25 Feb 2020,TTPB: Not receive any funding decision yet. :(  I am still waiting.,,,,,
139,"University Of California, Davis",Statistics,Masters,F20,Accepted,E-mail,25 Feb 2020,U,25 Feb 2020,,3.88,168.0,144.0,2.0,
140,"University Of California, Davis",Statistics,Masters,F20,Accepted,E-mail,26 Feb 2020,U,25 Feb 2020,Email to check portal. 2 acceptance in one day. Whoa.,3.95,148.0,170.0,3.5,810.0
141,Duke University,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,,25 Feb 2020,had to check the website to find out (eye roll),3.66,170.0,166.0,5.0,
142,University Of Connecticut (UConn),Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,A,25 Feb 2020,,,,,,
143,Columbia University,Statistics,Masters,F20,Accepted,Postal Service,25 Feb 2020,U,25 Feb 2020,"No anything was notified. I was just checking every portal on a daily basis (just like you do), and I found out there was an update. Pretty excited.
Not sure if I would go. Just waiting for other schools.",3.95,148.0,170.0,3.5,810.0
144,NCSU (North Carolina State University),Statistics,PhD,F20,Other,Other,25 Feb 2020,O,25 Feb 2020,"For those who have received results from NCSU, when did you submit your apps? I missed the priority ddl and haven't heard anything from them yet.",,,,,
145,Duke University,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,I,25 Feb 2020,,4.0,163.0,167.0,4.5,
146,Simon Fraser University (SFU),Statistics,Masters,F20,Rejected,E-mail,25 Feb 2020,I,25 Feb 2020,,,,,,
147,NCSU (North Carolina State University),Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,U,25 Feb 2020,,,,,,
148,University Of Washington,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,I,25 Feb 2020,Sent email asking application status like below and got response. The department should show some respect toward applicants by informing their decisions before people ask. Unhappy with the result as this was my dream school.,,,,,
149,Harvard University,Statistics,PhD,F20,Rejected,E-mail,11 Feb 2020,I,25 Feb 2020,email to check website,,,,,
150,Columbia University,Statistics,PhD,F20,Interview,E-mail,18 Feb 2020,I,25 Feb 2020,on 25.02,3.8,154.0,170.0,4.0,
151,University Of Illinois At Urbana Champaign,Statistics,Masters,F20,Accepted,E-mail,25 Feb 2020,I,25 Feb 2020,Recommended for admission to Graduate School,,161.0,165.0,4.5,
152,Carnegie Mellon University,Statistics And Public Policy,PhD,F20,Accepted,E-mail,21 Feb 2020,,25 Feb 2020,,,,,,
153,University Of Missouri,Statistics,PhD,F20,Accepted,E-mail,12 Feb 2020,U,25 Feb 2020,said 'departmental funding decision letters will be sent out separately from letter of admittance soon'. But still not receive.,,,,,
154,University Of Washington,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,A,25 Feb 2020,"Sent email to department, like others below, asking about the status of my application.",,,,,
155,University Of Virginia,Statistics,PhD,F20,Other,Other,25 Feb 2020,O,25 Feb 2020,"To the post below. I didn't get an email from Prof.Keenan. However, I wrote that UVA is always my top choice in my SOP.",,,,,
156,Carnegie Mellon University,Statistics,PhD,F20,Rejected,Website,24 Feb 2020,U,25 Feb 2020,,,,,,
157,University Of Virginia,Statistics,PhD,F20,Other,Other,25 Feb 2020,U,25 Feb 2020,"To posts below. May I check with one of you two who have received offer from UVa, did you also received an email by Dr. Keenan about your interest level?",3.6,154.0,170.0,3.5,
158,University Of Minnesota,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,I,25 Feb 2020,email to check my status,,,,,
159,University Of Connecticut,Statistics,PhD,F20,Accepted,E-mail,25 Feb 2020,I,25 Feb 2020,,,,,,
160,Carnegie Mellon University,Statistics,PhD,F20,Wait listed,E-mail,24 Feb 2020,A,25 Feb 2020,"Not the other guy, but I was formally wait listed.",,,,,
161,University Of Minnesota,Statistics,PhD,F20,Rejected,E-mail,25 Feb 2020,I,24 Feb 2020,,,,,,
162,Penn State University,Statistics,PhD,F20,Rejected,E-mail,21 Feb 2020,U,24 Feb 2020,,,,,,
163,Carnegie Mellon University,Statistics,PhD,F20,Other,Other,25 Feb 2020,I,24 Feb 2020,"TTPB: I was actually waitlisted. Received an email saying ""you are on our short waiting list for admission... We received about 400 applications and a very small number of people were admitted or wait listed.""",,,,,
164,University Of Florida,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,U,24 Feb 2020,1/2 TA for 9 months and tuition waiver. Will most likely attend.,,,,,
165,Carnegie Mellon University,Statistics,PhD,F20,Other,Other,25 Feb 2020,A,24 Feb 2020,"TPB who said they were waitlisted. Were you actually waitlisted, or are you just assuming that you were since you did not receive a rejection with the others today?",,,,,
166,"University Of California, Irvine",Statistics,PhD,F20,Accepted,E-mail,20 Feb 2020,A,24 Feb 2020,,,,,,
167,University Of Virginia,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,U,24 Feb 2020,,,,,,
168,Carnegie Mellon University,Statistics,PhD,F20,Wait listed,Website,24 Feb 2020,I,24 Feb 2020,,,,,,
169,University Of Virginia,Statistics,PhD,F20,Accepted,E-mail,24 Feb 2020,U,24 Feb 2020,,,,,,
170,University Of Michigan,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,4.0,163.0,167.0,4.5,
171,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,4.0,163.0,167.0,4.5,
172,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,3.73,154.0,167.0,4.0,
173,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,U,24 Feb 2020,,,,,,
174,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,A,24 Feb 2020,"First rejection, I think I'm going to either Michigan or Washington",3.9,165.0,166.0,4.0,
175,Carnegie Mellon University,Statistics,PhD,F20,Rejected,E-mail,24 Feb 2020,A,24 Feb 2020,,,,,,
